Egg (Each condition must be fulfilled to unlock egg: if price > 0 then fulfilling each condition will make it available in the shop and buying it will unlock the egg permanently: if price = 0 and each condition is fulfilled then this will unlock the egg permanently: temporary conditions unlock the egg for as long as the condition(s) is/are fulfilled),Unlocked,Price,MapComplete,StageReached,HasXAntibody(Temp),TournamentBeat,ZoneEnemyBeat (Map:Zone:EnemyLocation),CurrentGenerationReached,PreviousGenerationField(Temp),PreviousGenerationAttribute(Temp),PreviousGenerationElement(Temp),DigimonInHistory(List with : ),FoodUsed,ItemUsed,HabitatOwned,Password,Obedience,PreviousGenerationObedience(Temp),Mood,PreviousGenerationMood(Temp),LockedDescription,CanUnlockPermanently,LifetimeWins,AlbumCount,MegaKills,Connections
Botamon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Digitama,TRUE,-1,-1,-1,-1
YukimiBotamon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Punimon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Digitama,TRUE,-1,-1,-1,-1
Poyomon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Digitama,TRUE,-1,-1,-1,-1
Yuramon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Digitama,TRUE,-1,-1,-1,-1
Zurumon,TRUE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Basic Digitama,TRUE,-1,-1,-1,-1
Babumon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Pichimon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Mokumon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Nyokimon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Choromon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Kuramon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,Dark,-1,-1,-1,-1,-1,-1,-1,-1,-1,Direct descendant of a dark Digimon,FALSE,-1,-1,-1,-1
Chibickmon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Tsubumon,FALSE,0,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Digital World,TRUE,-1,-1,-1,-1
Pururumon,FALSE,0,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Digital World,TRUE,-1,-1,-1,-1
Jyarimon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Dodomon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Fell 5 Mega-class foes,TRUE,-1,-1,5,-1
Puttimon,FALSE,0,-1,None,FALSE,-1,-1,-1,None,Vaccine,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Direct descendant of a Vaccine Digimon,FALSE,-1,-1,-1,-1
Kiimon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
Dokimon,FALSE,0,-1,None,FALSE,146,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Win a Mega tournament in Summer,TRUE,-1,-1,-1,-1
Chibomon,FALSE,0,1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Saved the Digital World,TRUE,-1,-1,-1,-1
Datirimon,FALSE,2500,-1,None,FALSE,-1,-1,-1,None,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Purchase license,TRUE,-1,-1,-1,-1
